"part","per","TL","BL","TR","BR","right","self_adv","other_adv","self_dis","other_dis","selfish"
3,178,35,25,28,32,1,35,25,28,32,0
3,179,15,45,57,3,0,57,3,15,45,0
3,180,27,33,45,15,0,45,15,27,33,0
3,181,27,33,55,5,0,55,5,27,33,0
3,182,32,28,57,3,0,57,3,32,28,0
4,1,34,26,39,21,1,39,21,34,26,1
4,2,55,5,25,35,1,55,5,25,35,0
4,3,30,30,33,27,0,33,27,30,30,0
4,4,34,26,26,34,0,34,26,26,34,1
4,5,40,20,31,29,0,40,20,31,29,1
4,6,34,26,27,33,0,34,26,27,33,1
4,7,32,28,40,20,1,40,20,32,28,1
4,8,35,25,29,31,0,35,25,29,31,1
4,9,34,26,31,29,0,34,26,31,29,1
4,10,40,20,26,34,0,40,20,26,34,1
4,11,34,26,60,0,0,60,0,34,26,0
4,12,10,50,57,3,1,57,3,10,50,1
4,13,55,5,10,50,0,55,5,10,50,1
4,14,20,40,55,5,1,55,5,20,40,1
4,15,28,32,37,23,1,37,23,28,32,1
4,16,20,40,45,15,1,45,15,20,40,1
4,17,45,15,39,21,0,45,15,39,21,1
4,18,55,5,57,3,0,57,3,55,5,0
4,19,45,15,29,31,0,45,15,29,31,1
4,20,40,20,30,30,0,40,20,30,30,1
4,21,34,26,30,30,0,34,26,30,30,1
4,22,23,37,50,10,1,50,10,23,37,1
4,23,37,23,26,34,0,37,23,26,34,1
4,24,60,0,39,21,1,60,0,39,21,0
4,25,45,15,28,32,0,45,15,28,32,1
4,26,50,10,30,30,0,50,10,30,30,1
